strategy,n,iteration,total_ms,per_task_ms,success_count,error_count
sequential_rpc,10.00,0.000,34.05,3.405,10.00,0.000
sequential_rpc,10.00,1.000,34.32,3.432,10.00,0.000
sequential_rpc,10.00,2.000,27.08,2.708,10.00,0.000
sequential_rpc,10.00,3.000,26.94,2.694,10.00,0.000
sequential_rpc,10.00,4.000,32.85,3.285,10.00,0.000
sequential_rpc,50.00,0.000,106.6,2.131,50.00,0.000
sequential_rpc,50.00,1.000,111.2,2.223,50.00,0.000
sequential_rpc,50.00,2.000,107.0,2.139,50.00,0.000
sequential_rpc,50.00,3.000,124.4,2.488,50.00,0.000
sequential_rpc,50.00,4.000,109.7,2.194,50.00,0.000
sequential_rpc,100.0,0.000,302.6,3.026,100.0,0.000
sequential_rpc,100.0,1.000,460.7,4.607,100.0,0.000
sequential_rpc,100.0,2.000,231.4,2.314,100.0,0.000
sequential_rpc,100.0,3.000,179.2,1.792,100.0,0.000
sequential_rpc,100.0,4.000,202.3,2.023,100.0,0.000
sequential_rpc,500.0,0.000,1152.1,2.304,500.0,0.000
sequential_rpc,500.0,1.000,955.3,1.911,500.0,0.000
sequential_rpc,500.0,2.000,986.2,1.972,500.0,0.000
sequential_rpc,500.0,3.000,932.0,1.864,500.0,0.000
sequential_rpc,500.0,4.000,1181.1,2.362,500.0,0.000
parallel_rpc,10.00,0.000,7.886,0.789,10.00,0.000
parallel_rpc,10.00,1.000,8.071,0.807,10.00,0.000
parallel_rpc,10.00,2.000,11.91,1.191,10.00,0.000
parallel_rpc,10.00,3.000,12.46,1.246,10.00,0.000
parallel_rpc,10.00,4.000,15.66,1.566,10.00,0.000
parallel_rpc,50.00,0.000,54.53,1.091,50.00,0.000
parallel_rpc,50.00,1.000,144.6,2.892,50.00,0.000
parallel_rpc,50.00,2.000,86.52,1.730,50.00,0.000
parallel_rpc,50.00,3.000,68.59,1.372,50.00,0.000
parallel_rpc,50.00,4.000,51.19,1.024,50.00,0.000
parallel_rpc,100.0,0.000,80.18,0.802,100.0,0.000
parallel_rpc,100.0,1.000,115.2,1.152,100.0,0.000
parallel_rpc,100.0,2.000,78.46,0.785,100.0,0.000
parallel_rpc,100.0,3.000,122.6,1.226,100.0,0.000
parallel_rpc,100.0,4.000,83.56,0.836,100.0,0.000
parallel_rpc,500.0,0.000,511.4,1.023,299.0,201.0
parallel_rpc,500.0,1.000,557.5,1.115,294.0,206.0
parallel_rpc,500.0,2.000,545.9,1.092,275.0,225.0
parallel_rpc,500.0,3.000,515.7,1.031,262.0,238.0
parallel_rpc,500.0,4.000,453.8,0.908,277.0,223.0
batched_update,10.00,0.000,5.295,0.530,10.00,0.000
batched_update,10.00,1.000,4.887,0.489,10.00,0.000
batched_update,10.00,2.000,5.428,0.543,10.00,0.000
batched_update,10.00,3.000,5.615,0.562,10.00,0.000
batched_update,10.00,4.000,6.246,0.625,10.00,0.000
batched_update,50.00,0.000,9.728,0.195,50.00,0.000
batched_update,50.00,1.000,8.391,0.168,50.00,0.000
batched_update,50.00,2.000,7.566,0.151,50.00,0.000
batched_update,50.00,3.000,7.354,0.147,50.00,0.000
batched_update,50.00,4.000,6.896,0.138,50.00,0.000
batched_update,100.0,0.000,12.07,0.121,100.0,0.000
batched_update,100.0,1.000,14.01,0.140,100.0,0.000
batched_update,100.0,2.000,11.15,0.112,100.0,0.000
batched_update,100.0,3.000,10.81,0.108,100.0,0.000
batched_update,100.0,4.000,13.05,0.131,100.0,0.000
batched_update,500.0,0.000,2.725,0.005,0.000,500.0
batched_update,500.0,1.000,4.533,0.009,0.000,500.0
batched_update,500.0,2.000,1.274,0.003,0.000,500.0
batched_update,500.0,3.000,1.186,0.002,0.000,500.0
batched_update,500.0,4.000,2.213,0.004,0.000,500.0
bulk_rpc,10.00,0.000,3.458,0.346,10.00,0.000
bulk_rpc,10.00,1.000,3.232,0.323,10.00,0.000
bulk_rpc,10.00,2.000,3.330,0.333,10.00,0.000
bulk_rpc,10.00,3.000,3.621,0.362,10.00,0.000
bulk_rpc,10.00,4.000,3.790,0.379,10.00,0.000
bulk_rpc,50.00,0.000,5.099,0.102,50.00,0.000
bulk_rpc,50.00,1.000,6.766,0.135,50.00,0.000
bulk_rpc,50.00,2.000,5.305,0.106,50.00,0.000
bulk_rpc,50.00,3.000,6.160,0.123,50.00,0.000
bulk_rpc,50.00,4.000,5.705,0.114,50.00,0.000
bulk_rpc,100.0,0.000,8.373,0.084,100.0,0.000
bulk_rpc,100.0,1.000,7.059,0.071,100.0,0.000
bulk_rpc,100.0,2.000,7.535,0.075,100.0,0.000
bulk_rpc,100.0,3.000,7.779,0.078,100.0,0.000
bulk_rpc,100.0,4.000,11.66,0.117,100.0,0.000
bulk_rpc,500.0,0.000,25.54,0.051,500.0,0.000
bulk_rpc,500.0,1.000,21.89,0.044,500.0,0.000
bulk_rpc,500.0,2.000,20.75,0.042,500.0,0.000
bulk_rpc,500.0,3.000,25.03,0.050,500.0,0.000
bulk_rpc,500.0,4.000,22.02,0.044,500.0,0.000
